ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,County,Zipcode,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Start_Year,Start_Month,Start_Dayofweek,Start_Hour,Fog,Rain,Heavy_Rain,Light_Rain,Snow
A-169082,MapQuest,201,3,2017-01-05 07:47:00,2017-01-05 08:16:00,38.48571,-90.355721,0.01,Right hand shoulder blocked due to accident on I-55 Northbound before Exit 195 / Butler Hill Rd / Little Rock Rd.,I-55 S,R,Saint Louis,St. Louis County,63128,18.0,7.7,78.0,30.13,5.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,7,0,0,0,0,0
A-169088,MapQuest,201,3,2017-01-05 08:43:00,2017-01-05 09:13:00,38.714451000000004,-90.447556,0.01,;left lane closed due to accident on I-270 Southbound after Exit 17 Dorsett Rd.,I-270 S,R,Maryland Heights,St. Louis County,63043,18.0,7.7,74.0,30.18,8.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,8,0,0,0,0,0
A-169089,MapQuest,201,2,2017-01-05 08:46:00,2017-01-05 09:16:00,38.803112,-90.475372,0.01,Right lane closed due to accident on MO-370 Westbound at Exit 7 MO-94 3rd St.,MO-370 E,R,Saint Charles,St. Charles,63301,18.0,7.7,74.0,30.18,8.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,8,0,0,0,0,0
A-169090,MapQuest,201,3,2017-01-05 08:47:00,2017-01-05 09:17:00,38.679520000000004,-90.211349,0.01,2 right lane closed due to accident on I-70 Eastbound before Exit 246B Adelaide Ave.,I-70 E,R,Saint Louis,St. Louis City,63147,18.0,7.7,74.0,30.18,8.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,8,0,0,0,0,0
A-169093,MapQuest,201,3,2017-01-05 08:59:00,2017-01-05 09:28:00,38.755466,-90.45871,2.11,Right lane closed due to accident on I-70 Eastbound between Exits 229 229A 229B 5th St and Exits 231A 231B MO-141 Earth City Expy.,I-70 E,R,Maryland Heights,St. Louis County,63043,18.0,7.7,74.0,30.18,8.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,8,0,0,0,0,0
A-169094,MapQuest,201,3,2017-01-05 08:58:00,2017-01-05 09:28:00,38.566826,-90.439934,1.47,;eft lane closed due to accident on I-270 Northbound between Exits 5A 5B I-44 and Exit 7 Big Bend Rd.,I-270 N,R,Saint Louis,St. Louis County,63122,18.0,7.7,74.0,30.18,8.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,8,0,0,0,0,0
A-169098,MapQuest,201,3,2017-01-05 10:26:00,2017-01-05 10:56:00,38.635479,-90.40564,0.01,2 Left lane closed due to accident on US-67 Lindbergh Blvd Westbound at Lindbergh Blvd.,S Lindbergh Blvd,R,Saint Louis,St. Louis County,63131,18.0,7.7,71.0,30.15,5.0,North,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,1,0,Day,2017,1,3,10,0,0,0,0,0
A-169105,MapQuest,201,2,2017-01-05 12:31:00,2017-01-05 13:01:00,38.780727,-90.416756,0.01,Left lane closed due to accident on MO-370 Westbound at Saint Louis Mills Blvd / Taussig Ave.,MO-370 E,R,Bridgeton,St. Louis County,63044,18.0,7.7,74.0,30.1,3.0,NW,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,12,0,0,0,0,0
A-169462,MapQuest,201,3,2017-01-12 09:28:00,2017-01-12 09:57:00,38.672077,-90.44928,0.01,Right lane closed due to accident on I-270 Southbound at Olive Blvd.,Olive Blvd,R,Saint Louis,St. Louis County,63141,33.1,23.4,89.0,30.12,1.8,WNW,13.8,0.0,Light Drizzle,0,0,0,0,0,0,0,0,0,1,0,Day,2017,1,3,9,0,0,0,0,0
A-169466,MapQuest,201,2,2017-01-12 09:45:00,2017-01-12 10:14:00,38.698124,-90.450813,0.01,Center lane closed due to accident on MO-364 Eastbound at I-270 Exits 16 16A 16B.,I-270 S,R,Saint Louis,St. Louis County,63146,32.0,21.2,87.0,30.15,1.8,NW,16.1,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,9,0,0,0,0,0
